Date; Net Income/Loss; Total Depreciation And Amortization - Cash Flow; Other Non-Cash Items; Total Non-Cash Items; Change In Accounts Receivable; Change In Inventories; Change In Accounts Payable; Change In Assets/Liabilities; Total Change In Assets/Liabilities; Cash Flow From Operating Activities; Net Change In Property, Plant, And Equipment; Net Change In Intangible Assets; Net Acquisitions/Divestitures; Net Change In Short-term Investments; Net Change In Long-Term Investments; Net Change In Investments - Total; Investing Activities - Other; Cash Flow From Investing Activities; Net Long-Term Debt; Net Current Debt; Debt Issuance/Retirement Net - Total; Net Common Equity Issued/Repurchased; Net Total Equity Issued/Repurchased; Total Common And Preferred Stock Dividends Paid; Financial Activities - Other; Cash Flow From Financial Activities; Net Cash Flow; Stock-Based Compensation; Common Stock Dividends Paid
2020-03-31; 2.6; 98.3; 34.7; 133.0; 1302.8; 0.0; -1466.9; -91.0; -413.9; -277.1; -44.6; 0.0; -1.3; 0.0; 1.8; 1.8; -16.7; -60.8; 646.2; 247.8; 894.0; 0.0; 0.0; -100.0; -49.6; 744.4; 359.8; 0.0; -100.0
2019-12-31; 342.2; 89.6; 37.5; 127.1; -1008.1; 0.0; 1498.7; 36.4; 627.9; 1105.6; -64.7; 0.0; 0.0; 0.0; 3.8; 3.8; 19.9; -41.0; -103.1; -192.9; -296.0; 0.1; 0.1; -90.9; -11.2; -398.0; 671.7; 0.0; -90.9
2019-09-30; 168.4; 85.6; 10.2; 95.8; 190.3; 0.0; -275.8; 27.8; -39.0; 224.6; -53.7; 0.0; 0.0; 0.0; 0.0; 0.0; 10.9; -42.8; -200.1; 40.8; -159.3; 3.6; 3.6; -90.8; -6.8; -253.3; -92.9; 0.0; -90.8
2019-06-30; 172.8; 91.2; 46.2; 137.4; -245.3; 0.0; 284.4; -28.0; -3.6; 292.5; -47.3; 0.0; -0.6; 0.0; 0.0; 0.0; 0.7; -47.2; -100.1; -68.7; -168.8; 0.0; 0.0; -90.8; -18.8; -278.4; -16.4; 0.0; -90.8
2019-03-31; -9.5; 101.6; -19.0; 82.6; 913.2; 0.0; -961.3; -54.1; -179.7; -93.5; -32.8; 0.0; 0.0; 0.0; 0.0; 0.0; 2.1; -30.7; 0.0; 201.0; 201.0; 0.6; 0.6; -90.6; -24.3; 86.7; -43.9; 0.0; -90.6
2018-12-31; 342.5; 93.7; 46.0; 139.7; -953.9; 0.0; 1195.6; 8.6; 412.6; 891.8; -71.4; 0.0; -2297.8; 0.0; 0.0; 0.0; -5.7; -2374.9; 400.1; -12.9; 387.2; 6.4; 6.4; -80.5; -10.5; 302.6; -1192.5; 0.0; -80.5
2018-09-30; 163.5; 59.2; 17.2; 76.4; 136.3; 0.0; -187.6; 50.7; -11.2; 231.0; -44.2; 0.0; -3.5; 0.0; 0.0; 0.0; -11.3; -59.0; 1994.0; -673.9; 1320.1; -0.5; -0.5; -80.4; -29.6; 1209.6; 1373.8; 0.0; -80.4
2018-06-30; 147.8; 61.3; 13.6; 74.9; -450.2; 0.0; 414.9; 1.0; -45.6; 172.2; -38.7; 0.0; -8.3; 0.0; 0.0; 0.0; 12.5; -34.5; -4.7; -49.5; -54.2; -59.5; -59.5; -80.4; -23.1; -217.2; -104.1; 0.0; -80.4
2018-03-31; -16.1; 77.4; 5.7; 83.1; 454.5; 0.0; -994.2; -99.4; -803.7; -729.9; -22.8; 0.0; -0.2; 0.0; 0.0; 0.0; -0.1; -23.1; 0.0; 718.8; 718.8; -48.0; -48.0; -80.8; -31.8; 558.2; -197.7; 0.0; -80.8
2017-12-31; 269.2; 56.4; -25.1; 31.3; -836.8; 0.0; 1298.1; 215.9; 723.7; 1020.8; -47.2; 0.0; -8.0; 0.0; 0.0; 0.0; -0.5; -55.7; -301.0; -426.9; -727.9; -83.1; -83.1; -69.1; -11.7; -891.8; 89.7; 0.0; -69.1
2017-09-30; 172.3; 57.4; 18.9; 76.3; -60.8; 0.0; -310.4; 104.7; -240.4; 14.1; -39.8; 0.0; -10.0; 0.0; 0.0; 0.0; 5.3; -44.5; 0.0; 276.4; 276.4; -100.7; -100.7; -69.8; -19.6; 86.3; 48.1; 0.0; -69.8
2017-06-30; 107.6; 59.0; 37.3; 96.3; -36.9; 0.0; 75.2; 22.0; 11.3; 218.7; -44.1; 0.0; -9.3; 0.0; 0.0; 0.0; -9.4; -62.8; -23.6; -71.3; -94.9; -56.4; -56.4; -70.5; -42.0; -263.8; -119.7; 0.0; -70.5
2017-03-31; 21.3; 72.1; -7.0; 65.1; 806.6; 0.0; -726.5; -280.1; -464.9; -371.8; -24.8; 0.0; -3.3; 0.0; 0.0; 0.0; -5.1; -33.2; 0.0; 224.8; 224.8; -46.8; -46.8; -70.9; -42.7; 64.4; -320.6; 0.0; -70.9
2016-12-31; 333.4; 70.7; 70.4; 141.1; -889.2; 0.0; 541.0; 260.9; 59.5; 539.7; -86.2; 0.0; -4.1; 0.0; 0.0; 0.0; -6.1; -96.4; -0.7; -22.3; -23.0; -110.0; -110.0; -58.8; -7.7; -199.5; 204.7; 0.0; -58.8
2016-09-30; 132.7; 60.2; 8.9; 69.1; 238.1; 0.0; 160.3; -118.3; 324.0; 526.9; -51.5; 0.0; -13.6; 0.0; 0.0; 0.0; -0.2; -65.3; -0.1; -88.9; -89.0; -80.4; -80.4; -59.5; -11.0; -239.9; 219.8; 0.0; -59.5
2016-06-30; 160.2; 58.0; 32.0; 90.0; -258.3; 0.0; 136.0; 21.7; -153.6; 99.8; -36.0; 0.0; -7.3; 0.0; 0.0; 0.0; 0.6; -42.7; -1.0; 74.7; 73.7; -52.9; -52.9; -60.2; -33.3; -72.7; 0.3; 0.0; -60.2
2016-03-31; 2.7; 62.5; -8.6; 53.9; 686.5; 0.0; -984.7; -238.7; -735.7; -653.6; -27.0; 0.0; -27.0; 0.0; 0.0; 0.0; -5.5; -59.5; 0.0; -19.7; -19.7; -49.8; -49.8; -59.9; -24.9; -154.3; -830.7; 0.0; -59.9
2015-12-31; 282.9; 62.9; 94.4; 157.3; -544.1; 0.0; 957.7; -13.2; 475.4; 926.8; -80.4; 0.0; -22.7; 0.0; 0.0; 0.0; -6.1; -109.2; -2.0; 22.4; 20.4; -111.2; -111.2; -48.3; -22.8; -161.9; 628.0; 0.0; -48.3
2015-09-30; 78.0; 56.0; 9.4; 65.4; 23.9; 0.0; 220.1; -195.1; 136.9; 281.8; -30.9; 0.0; -5.9; 0.0; 0.0; 0.0; -3.8; -40.6; 0.0; -25.5; -25.5; -69.1; -69.1; -48.7; -8.7; -152.0; 25.4; 0.0; -48.7
2015-06-30; 123.8; 57.3; 36.2; 93.5; -176.4; 0.0; 171.1; 72.9; 42.6; 260.6; -29.6; 0.0; 0.0; 0.0; 0.0; 0.0; -0.3; -29.9; 0.0; 20.6; 20.6; -49.3; -49.3; -49.2; -31.8; -109.7; 114.6; 0.0; -49.2
2015-03-31; -4.2; 56.9; -29.0; 27.9; 460.5; 0.0; -929.9; -172.5; -815.2; -780.7; -20.2; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2; -20.0; 0.0; 34.3; 34.3; -42.1; -42.1; -49.3; -10.2; -67.3; -926.3; 0.0; -49.3
2014-12-31; 331.3; 59.1; 33.5; 92.6; -643.1; 0.0; 856.5; 286.1; 646.5; 1077.4; -54.3; 0.0; -20.8; 0.5; 0.0; 0.5; 17.6; -57.0; -1.1; -21.9; -23.0; -118.8; -118.8; -39.1; -17.0; -197.9; 764.6; 0.0; -39.1
2014-09-30; 92.8; 54.1; 44.7; 98.8; 295.4; 0.0; -431.2; 51.9; -17.6; 176.2; -35.7; 0.0; -6.7; -0.5; 0.0; -0.5; 0.1; -42.8; 0.0; 8.4; 8.4; -49.6; -49.6; -39.8; -4.5; -85.5; 0.9; 0.0; -39.8
2014-06-30; 103.7; 52.6; 32.0; 84.6; -230.0; 0.0; 321.1; -121.6; -30.7; 168.5; -32.1; 0.0; -18.2; 0.0; 0.0; 0.0; -1.7; -52.0; 149.0; -46.1; 102.9; -47.9; -47.9; -39.9; -13.7; 1.4; 124.1; 0.0; -39.9
2014-03-31; -22.4; 56.6; -19.1; 37.5; 557.6; 0.0; -905.6; -223.5; -744.8; -725.7; -26.6; 0.0; -22.1; 0.0; 0.0; 0.0; 1.6; -47.1; 0.0; -6.7; -6.7; -38.7; -38.7; -40.2; -5.1; -90.7; -865.8; 0.0; -40.2
2013-12-31; 212.1; 52.9; 43.1; 96.0; -744.0; 0.0; 1229.2; 84.9; 705.6; 1023.3; -81.4; 0.0; -14.1; 0.0; 0.0; 0.0; -0.9; -96.4; -1.2; -7.9; -9.1; -197.2; -197.2; -34.8; -15.6; -256.7; 637.5; 0.0; -31.9
2013-09-30; 49.2; 49.9; 62.0; 111.9; 256.4; 0.0; -238.1; -19.9; -4.2; 161.0; -44.8; 0.0; 0.2; -0.8; 0.0; -0.8; -0.3; -45.7; -600.0; -5.8; -605.8; -88.1; -88.1; -34.3; -1.4; -729.6; -614.6; 0.0; -31.4
2013-06-30; 86.1; 51.2; 38.8; 90.0; -236.9; 0.0; 324.8; -50.7; 18.7; 183.7; -29.0; 0.0; -10.2; 0.5; 0.0; 0.5; -3.9; -42.6; -1.2; 30.5; 29.3; -91.4; -91.4; -34.6; -25.2; -121.9; -31.8; 0.0; -31.7
2013-03-31; -58.5; 55.1; -45.7; 9.4; 567.4; 0.0; -898.2; -263.0; -725.6; -775.1; -17.8; 0.0; -34.9; 11.1; 0.0; 11.1; 1.8; -39.8; 0.0; -11.4; -11.4; -57.7; -57.7; -33.9; -1.1; -104.1; -929.1; 0.0; -31.0
2012-12-31; 337.1; 47.2; 46.0; 93.2; -654.9; 0.0; 732.3; 178.3; 369.9; 802.5; -69.9; 0.0; 90.2; -0.4; 0.0; -0.4; -0.8; 19.1; 797.3; -32.9; 764.4; -146.8; -146.8; -28.2; -18.4; 571.0; 1387.5; 0.0; -25.3
2012-09-30; 67.7; 46.7; 14.6; 61.3; -64.9; 0.0; -230.5; 42.6; -234.9; -104.7; -41.1; 0.0; -89.5; -0.5; 0.0; -0.5; -0.6; -131.7; -0.5; 17.0; 16.5; -82.5; -82.5; -28.7; -3.9; -98.6; -314.7; 0.0; -25.8
2012-06-30; 105.5; 50.5; 10.5; 61.0; -67.2; 0.0; 186.2; -87.0; -7.0; 157.9; -35.8; 0.0; -36.9; 0.0; 0.0; 0.0; -3.6; -76.3; -0.4; 24.7; 24.3; -62.8; -62.8; -29.0; -44.6; -112.1; -71.1; 0.0; -26.1
2012-03-31; -45.7; 49.6; -44.8; 4.8; 742.3; 0.0; -808.4; -251.0; -468.0; -498.5; -22.4; 0.0; -2.1; -0.3; 0.0; -0.3; 3.5; -21.3; -153.3; 3.8; -149.5; -47.6; -47.6; -29.1; -2.8; -229.0; -729.6; 0.0; -26.2
2011-12-31; 278.3; 48.6; 61.9; 110.5; -785.0; 0.0; 754.5; 243.7; 316.3; 717.4; -57.0; 0.0; -12.8; 0.0; 0.0; 0.0; 1.9; -67.9; -0.6; -5.5; -6.1; -131.7; -131.7; -29.6; 49.1; -118.3; 517.7; 0.0; -26.7
2011-09-30; 217.5; 46.5; -69.4; -22.9; 314.8; 0.0; -231.9; -218.5; -39.0; 157.8; -30.2; 0.0; -18.7; 0.0; 133.5; 133.5; 9.0; 93.6; -36.8; 23.3; -13.5; -129.8; -129.8; -30.5; -28.2; -202.0; -24.8; 0.0; -27.6
2011-06-30; 108.9; 49.4; 19.1; 68.5; -118.4; 0.0; 148.1; -34.6; 19.1; 200.0; -36.2; 0.0; -31.9; 0.0; 0.0; 0.0; 0.4; -67.7; -0.7; 29.7; 29.0; -125.2; -125.2; -31.2; -47.9; -175.3; -30.4; 0.0; -28.3
2011-03-31; -53.2; 49.4; -49.5; -0.1; 369.4; 0.0; -733.6; -174.6; -758.6; -801.7; -16.9; 0.0; 0.3; 0.0; 0.0; 0.0; -0.2; -16.8; -0.8; -5.0; -5.8; -2.1; -2.1; -31.4; -6.1; -45.4; -835.5; 0.0; -28.5
2010-12-31; 222.8; 47.0; 65.6; 112.6; -464.9; 0.0; 816.2; 123.0; 644.8; 979.1; -46.6; 0.0; 1.1; 0.0; 0.0; 0.0; 20.6; -24.9; -193.1; -8.5; -201.6; -1.0; -1.0; -2.9; -14.5; -220.0; 748.0; 0.0; 0.0
2010-09-30; 45.6; 48.1; -10.0; 38.1; 62.0; 0.0; -88.1; -45.7; -51.1; 40.4; -21.4; 0.0; -84.9; 0.0; 0.0; 0.0; 32.0; -74.3; -2.8; 22.3; 19.5; 1.0; 1.0; -2.9; -29.4; -11.8; -2.2; 0.0; 0.0
2010-06-30; 83.1; 48.8; 48.7; 97.5; -416.3; 0.0; 487.1; -121.4; 165.3; 353.3; -18.9; 0.0; -2.6; 0.0; 0.0; 0.0; -0.8; -22.3; -21.4; 11.4; -10.0; 0.0; -265.9; -6.9; -16.9; -299.7; 1.1; 0.0; 0.0
2010-03-31; -70.3; 50.1; -37.6; 12.5; 271.6; 0.0; -347.8; -91.7; -508.6; -555.5; -9.4; 0.0; 24.5; 0.0; 0.0; 0.0; -2.1; 13.0; 0.0; -7.8; -7.8; 0.0; 0.0; -6.9; -1.5; -16.2; -566.4; 0.0; 0.0
2009-12-31; 159.7; 54.3; 103.6; 157.9; -633.4; 0.0; 1093.4; 49.4; 418.1; 739.3; -23.4; 0.0; -6.2; 0.6; 0.0; 0.6; 11.1; -17.9; -12.7; 12.1; -0.6; 0.0; 0.0; -6.9; 3.1; -4.4; 733.7; 0.0; 0.0
2009-09-30; 25.9; 54.1; 23.9; 78.0; 210.6; 0.0; -153.4; -104.6; 18.0; 124.9; -16.0; 0.0; -33.8; 0.5; 0.0; 0.5; -0.1; -49.4; -72.4; -25.9; -98.3; 15.8; 15.8; -6.9; -23.2; -112.6; 1.0; 0.0; 0.0
2009-06-30; 31.4; 64.4; 50.4; 114.8; 81.4; 0.0; -97.5; 38.6; 73.6; 233.9; -16.0; 0.0; -18.8; 6.7; 0.0; 6.7; -1.0; -29.1; -110.6; 13.8; -96.8; -15.8; -15.8; -6.9; -14.6; -134.1; 118.5; 0.0; 0.0
2009-03-31; -73.6; 58.7; -44.3; 14.4; 520.9; 0.0; -612.5; -10.6; -490.8; -557.3; -11.7; 0.0; -13.6; 150.7; 0.0; 150.7; 0.4; 125.8; 0.0; 0.0; 0.0; 0.0; 0.0; -6.9; -9.0; -15.9; -465.2; 0.0; 0.0
